Nombre,Habilidades,Resistance vs Bug,Resistance vs Dark,Resistance vs Dragon,Resistance vs Electric,Resistance vs Fairy,Resistance vs Fighting,Resistance vs Fire,Resistance vs Flying,Resistance vs Ghost,Resistance vs Grass,Resistance vs Ground,Resistance vs Ice,Resistance vs Normal,Resistance vs Poison,Resistance vs Psychic,Resistance vs Rock,Resistance vs Steel,Resistance vs Water,Ataque,total_estadisticas,ratio_captura,Defensa,altura,PS,id_pokemon,ataque_especial,defensa_especial,Velocidad,Tipo 1,Tipo 2,peso,generacion,es_legendario
Metapod,Shed Skin,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20,205,120.0,55,0.7,50,11,25,25,30,Bug,None,9.9,1,0
Butterfree,"Compoundeyes, Tinted Lens",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45,395,45.0,50,1.1,60,12,90,80,70,Bug,Flying,32.0,1,0
Weedle,"Shield Dust, Run Away",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35,195,255.0,30,0.3,40,13,20,20,50,Bug,Poison,3.2,1,0
Kakuna,Shed Skin,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25,205,120.0,50,0.6,45,14,25,25,35,Bug,Poison,10.0,1,0
Beedrill,"Swarm, Sniper",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150,495,45.0,40,1.0,65,15,15,80,145,Bug,Poison,29.5,1,0
Pidgey,"Keen Eye, Tangled Feet, Big Pecks",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45,251,255.0,40,0.3,40,16,35,35,56,Normal,Flying,1.8,1,0
Pidgeotto,"Keen Eye, Tangled Feet, Big Pecks",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,349,120.0,55,1.1,63,17,50,50,71,Normal,Flying,30.0,1,0
Pidgeot,"Keen Eye, Tangled Feet, Big Pecks",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80,579,45.0,80,1.5,83,18,135,80,121,Normal,Flying,39.5,1,0
Rattata,"Run Away, Guts, Hustle, Gluttony, Hustle, Thick Fat",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,253,255.0,35,0.0,30,19,25,35,72,Normal,Dark,0.0,1,0
Raticate,"Run Away, Guts, Hustle, Gluttony, Hustle, Thick Fat",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71,413,127.0,70,0.0,75,20,40,80,77,Normal,Dark,0.0,1,0
Spearow,"Keen Eye, Sniper",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,262,255.0,30,0.3,40,21,31,31,70,Normal,Flying,2.0,1,0
Fearow,"Keen Eye, Sniper",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,442,90.0,65,1.2,65,22,61,61,100,Normal,Flying,38.0,1,0
Ekans,"Intimidate, Shed Skin, Unnerve",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60,288,255.0,44,2.0,35,23,40,54,55,Poison,None,6.9,1,0
Arbok,"Intimidate, Shed Skin, Unnerve",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95,448,90.0,69,3.5,60,24,65,79,80,Poison,None,65.0,1,0
Pikachu,"Static, Lightningrod",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,320,190.0,40,0.4,35,25,50,50,90,Electric,None,6.0,1,0
Raichu,"Static, Lightningrod, Surge Surfer",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,485,75.0,50,0.0,60,26,95,85,110,Electric,Electric,0.0,1,0
Sandshrew,"Sand Veil, Sand Rush, Snow Cloak, Slush Rush",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75,300,255.0,90,0.0,50,27,10,35,40,Ground,Ice,0.0,1,0
Sandslash,"Sand Veil, Sand Rush, Snow Cloak, Slush Rush",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,450,90.0,120,0.0,75,28,25,65,65,Ground,Ice,0.0,1,0
Nidoran♀,"Poison Point, Rivalry, Hustle",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47,275,235.0,52,0.4,55,29,40,40,41,Poison,None,7.0,1,0
Nidorina,"Poison Point, Rivalry, Hustle",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62,365,120.0,67,0.8,70,30,55,55,56,Poison,None,20.0,1,0
Nidoqueen,"Poison Point, Rivalry, Sheer Force",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92,505,45.0,87,1.3,90,31,75,85,76,Poison,Ground,60.0,1,0
Nidoran♂,"Poison Point, Rivalry, Hustle",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57,273,235.0,40,0.5,46,32,40,40,50,Poison,None,9.0,1,0
Nidorino,"Poison Point, Rivalry, Hustle",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72,365,120.0,57,0.9,61,33,55,55,65,Poison,None,19.5,1,0
Nidoking,"Poison Point, Rivalry, Sheer Force",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102,505,45.0,77,1.4,81,34,85,75,85,Poison,Ground,62.0,1,0
Clefairy,"Cute Charm, Magic Guard, Friend Guard",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,323,150.0,48,0.6,70,35,60,65,35,Fairy,None,7.5,1,0
Clefable,"Cute Charm, Magic Guard, Unaware",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,483,25.0,73,1.3,95,36,95,90,60,Fairy,None,40.0,1,0
Vulpix,"Flash Fire, Drought, Snow Cloak, Snow Warning",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41,299,190.0,40,0.0,38,37,50,65,65,Fire,Ice,0.0,1,0
Ninetales,"Flash Fire, Drought, Snow Cloak, Snow Warning",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67,505,75.0,75,0.0,73,38,81,100,109,Fire,Ice,0.0,1,0
Jigglypuff,"Cute Charm, Competitive, Friend Guard",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,270,170.0,20,0.5,115,39,45,25,20,Normal,Fairy,5.5,1,0
Wigglytuff,"Cute Charm, Competitive, Frisk",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,435,50.0,45,1.0,140,40,85,50,45,Normal,Fairy,12.0,1,0
Zubat,"Inner Focus, Infiltrator",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45,245,255.0,35,0.8,40,41,30,40,55,Poison,Flying,7.5,1,0
Golbat,"Inner Focus, Infiltrator",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80,455,90.0,70,1.6,75,42,65,75,90,Poison,Flying,55.0,1,0
Oddish,"Chlorophyll, Run Away",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50,320,255.0,55,0.5,45,43,75,65,30,Grass,Poison,5.4,1,0
Gloom,"Chlorophyll, Stench",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65,395,120.0,70,0.8,60,44,85,75,40,Grass,Poison,8.6,1,0
Vileplume,"Chlorophyll, Effect Spore",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80,490,45.0,85,1.2,75,45,110,90,50,Grass,Poison,18.6,1,0
Paras,"Effect Spore, Dry Skin, Damp",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70,285,190.0,55,0.3,35,46,45,55,25,Bug,Grass,5.4,1,0
Parasect,"Effect Spore, Dry Skin, Damp",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95,405,75.0,80,1.0,60,47,60,80,30,Bug,Grass,29.5,1,0
Venonat,"Compoundeyes, Tinted Lens, Run Away",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55,305,190.0,50,1.0,60,48,40,55,45,Bug,Poison,30.0,1,0
Venomoth,"Shield Dust, Tinted Lens, Wonder Skin",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65,450,75.0,60,1.5,70,49,90,75,90,Bug,Poison,12.5,1,0
Diglett,"Sand Veil, Arena Trap, Sand Force, Sand Veil, Tangling Hair, Sand Force",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55,265,255.0,30,0.0,10,50,35,45,90,Ground,Ground,0.0,1,0
Dugtrio,"Sand Veil, Arena Trap, Sand Force, Sand Veil, Tangling Hair, Sand Force",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,425,50.0,60,0.0,35,51,50,70,110,Ground,Ground,0.0,1,0
Meowth,"Pickup, Technician, Unnerve, Pickup, Technician, Rattled",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,290,255.0,35,0.0,40,52,50,40,90,Normal,Dark,0.0,1,0
Persian,"Limber, Technician, Unnerve, Fur Coat, Technician, Rattled",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,440,90.0,60,0.0,65,53,75,65,115,Normal,Dark,0.0,1,0
Psyduck,"Damp, Cloud Nine, Swift Swim",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52,320,190.0,48,0.8,50,54,65,50,55,Water,None,19.6,1,0
Golduck,"Damp, Cloud Nine, Swift Swim",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82,500,75.0,78,1.7,80,55,95,80,85,Water,None,76.6,1,0
Mankey,"Vital Spirit, Anger Point, Defiant",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,305,190.0,35,0.5,40,56,35,45,70,Fighting,None,28.0,1,0
Primeape,"Vital Spirit, Anger Point, Defiant",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,455,75.0,60,1.0,65,57,60,70,95,Fighting,None,32.0,1,0
Growlithe,"Intimidate, Flash Fire, Justified",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70,350,190.0,45,0.7,55,58,70,50,60,Fire,None,19.0,1,0
Arcanine,"Intimidate, Flash Fire, Justified",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110,555,75.0,80,1.9,90,59,100,80,95,Fire,None,155.0,1,0
Poliwag,"Water Absorb, Damp, Swift Swim",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50,300,255.0,40,0.6,40,60,40,40,90,Water,None,12.4,1,0
Poliwhirl,"Water Absorb, Damp, Swift Swim",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,385,120.0,65,1.0,65,61,50,50,90,Water,None,20.0,1,0
Poliwrath,"Water Absorb, Damp, Swift Swim",0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95,510,45.0,95,1.3,90,62,70,90,70,Water,Fighting,54.0,1,0
Abra,"Synchronize, Inner Focus, Magic Guard",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,20,310,200.0,15,0.9,25,63,105,55,90,Psychic,None,19.5,1,0
Kadabra,"Synchronize, Inner Focus, Magic Guard",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,35,400,100.0,30,1.3,40,64,120,70,105,Psychic,None,56.5,1,0
Alakazam,"Synchronize, Inner Focus, Magic Guard",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50,600,50.0,65,1.5,55,65,175,105,150,Psychic,None,48.0,1,0
Machop,"Guts, No Guard, Steadfast",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,305,180.0,50,0.8,70,66,35,35,35,Fighting,None,19.5,1,0
Machoke,"Guts, No Guard, Steadfast",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,100,405,90.0,70,1.5,80,67,50,60,45,Fighting,None,70.5,1,0
Machamp,"Guts, No Guard, Steadfast",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,130,505,45.0,80,1.6,90,68,65,85,55,Fighting,None,130.0,1,0
Bellsprout,"Chlorophyll, Gluttony",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,75,300,255.0,35,0.7,50,69,70,30,40,Grass,Poison,4.0,1,0
Weepinbell,"Chlorophyll, Gluttony",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,90,390,120.0,50,1.0,65,70,85,45,55,Grass,Poison,6.4,1,0
Victreebel,"Chlorophyll, Gluttony",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,105,490,45.0,65,1.7,80,71,100,70,70,Grass,Poison,15.5,1,0
Tentacool,"Clear Body, Liquid Ooze, Rain Dish",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,40,335,190.0,35,0.9,40,72,50,100,70,Water,Poison,45.5,1,0
Tentacruel,"Clear Body, Liquid Ooze, Rain Dish",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,70,515,60.0,65,1.6,80,73,80,120,100,Water,Poison,55.0,1,0
Geodude,"Rock Head, Sturdy, Sand Veil, Magnet Pull, Sturdy, Galvanize",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,80,300,255.0,100,0.0,40,74,30,30,20,Rock,Ground,0.0,1,0
Graveler,"Rock Head, Sturdy, Sand Veil, Magnet Pull, Sturdy, Galvanize",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,95,390,120.0,115,0.0,55,75,45,45,35,Rock,Ground,0.0,1,0
Golem,"Rock Head, Sturdy, Sand Veil, Magnet Pull, Sturdy, Galvanize",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,120,495,45.0,130,0.0,80,76,55,65,45,Rock,Ground,0.0,1,0
Ponyta,"Run Away, Flash Fire, Flame Body",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,85,410,190.0,55,1.0,50,77,65,65,90,Fire,None,30.0,1,0
Rapidash,"Run Away, Flash Fire, Flame Body",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,100,500,60.0,70,1.7,65,78,80,80,105,Fire,None,95.0,1,0
Slowpoke,"Oblivious, Own Tempo, Regenerator",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,65,315,190.0,65,1.2,90,79,40,40,15,Water,Psychic,36.0,1,0
Slowbro,"Oblivious, Own Tempo, Regenerator",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,590,75.0,180,1.6,95,80,130,80,30,Water,Psychic,78.5,1,0
Magnemite,"Magnet Pull, Sturdy, Analytic",0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,35,325,190.0,70,0.3,25,81,95,55,45,Electric,Steel,6.0,1,0
Magneton,"Magnet Pull, Sturdy, Analytic",0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,60,465,60.0,95,1.0,50,82,120,70,70,Electric,Steel,60.0,1,0
Farfetch'd,"Keen Eye, Inner Focus, Defiant",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,377,45.0,55,0.8,52,83,58,62,60,Normal,Flying,15.0,1,0
Doduo,"Run Away, Early Bird, Tangled Feet",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,85,310,190.0,45,1.4,35,84,35,35,75,Normal,Flying,39.2,1,0
Dodrio,"Run Away, Early Bird, Tangled Feet",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,110,470,45.0,70,1.8,60,85,60,60,110,Normal,Flying,85.2,1,0
Seel,"Thick Fat, Hydration, Ice Body",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,45,325,190.0,55,1.1,65,86,45,70,45,Water,None,90.0,1,0
Dewgong,"Thick Fat, Hydration, Ice Body",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,70,475,75.0,80,1.7,90,87,70,95,70,Water,Ice,120.0,1,0
Grimer,"Stench, Sticky Hold, Poison Touch, Poison Touch, Gluttony, Power Of Alchemy",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,80,325,190.0,50,0.0,80,88,40,50,25,Poison,Poison,0.0,1,0
Muk,"Stench, Sticky Hold, Poison Touch, Poison Touch, Gluttony, Power Of Alchemy",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,105,500,75.0,75,0.0,105,89,65,100,50,Poison,Poison,0.0,1,0
Shellder,"Shell Armor, Skill Link, Overcoat",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,305,190.0,100,0.3,30,90,45,25,40,Water,None,4.0,1,0
Cloyster,"Shell Armor, Skill Link, Overcoat",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,95,525,60.0,180,1.5,50,91,85,45,70,Water,Ice,132.5,1,0
Gastly,Levitate,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,35,310,190.0,30,1.3,30,92,100,35,80,Ghost,Poison,0.1,1,0
Haunter,Levitate,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,50,405,90.0,45,1.6,45,93,115,55,95,Ghost,Poison,0.1,1,0
Gengar,Cursed Body,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,65,600,45.0,80,1.5,60,94,170,95,130,Ghost,Poison,40.5,1,0
Onix,"Rock Head, Sturdy, Weak Armor",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,45,385,45.0,160,8.8,35,95,30,45,70,Rock,Ground,210.0,1,0
Drowzee,"Insomnia, Forewarn, Inner Focus",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,48,328,190.0,45,1.0,60,96,43,90,42,Psychic,None,32.4,1,0
Hypno,"Insomnia, Forewarn, Inner Focus",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,73,483,75.0,70,1.6,85,97,73,115,67,Psychic,None,75.6,1,0
Krabby,"Hyper Cutter, Shell Armor, Sheer Force",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,325,225.0,90,0.4,30,98,25,25,50,Water,None,6.5,1,0
