Nombre,Habilidades,Resistencia vs Insecto,Resistencia vs Siniestro,Resistencia vs Dragón,Resistencia vs Electrico,Resistencia vs Hada,Resistencia vs Lucha,Resistencia vs Fuego,Resistencia vs Volador,Resistencia vs Fantasma,Resistencia vs Planta,Resistencia vs Tierra,Resistencia vs Hielo,Resistencia vs Normal,Resistencia vs Veneno,Resistencia vs Psiquico,Resistencia vs Roca,Resistencia vs Acero,Resistencia vs Agua,Ataque,total_estadisticas,ratio_captura,Defensa,altura,PS,id_pokemon,ataque_especial,defensa_especial,Velocidad,Tipo 1,Tipo 2,peso,generacion,es_legendario
Metapod,Mudar,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20,205,120.0,55,0.7,50,11,25,25,30,Bicho,,9.9,1,0
Butterfree,"Ojo Compuesto, Cromolente",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45,395,45.0,50,1.1,60,12,90,80,70,Bicho,Volador,32.0,1,0
Weedle,"Polvo Escudo, Fuga",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35,195,255.0,30,0.3,40,13,20,20,50,Bicho,Veneno,3.2,1,0
Kakuna,Mudar,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25,205,120.0,50,0.6,45,14,25,25,35,Bicho,Veneno,10.0,1,0
Beedrill,"Enjambre, Francotirador",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150,495,45.0,40,1.0,65,15,15,80,145,Bicho,Veneno,29.5,1,0
Pidgey,"Vista Lince, Tanteo, Sacapecho",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45,251,255.0,40,0.3,40,16,35,35,56,Normal,Volador,1.8,1,0
Pidgeotto,"Vista Lince, Tanteo, Sacapecho",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,349,120.0,55,1.1,63,17,50,50,71,Normal,Volador,30.0,1,0
Pidgeot,"Vista Lince, Tanteo, Sacapecho",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80,579,45.0,80,1.5,83,18,135,80,121,Normal,Volador,39.5,1,0
Rattata,"Fuga, Agallas, Hustle, Gluttony, Hustle, Thick Fat",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,253,255.0,35,0.0,30,19,25,35,72,Normal,Siniestro,0.0,1,0
Raticate,"Fuga, Agallas, Hustle, Gluttony, Hustle, Thick Fat",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71,413,127.0,70,0.0,75,20,40,80,77,Normal,Siniestro,0.0,1,0
Spearow,"Vista Lince, Francotirador",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,262,255.0,30,0.3,40,21,31,31,70,Normal,Volador,2.0,1,0
Fearow,"Vista Lince, Francotirador",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,442,90.0,65,1.2,65,22,61,61,100,Normal,Volador,38.0,1,0
Ekans,"Intimidación, Mudar, Unnerve",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60,288,255.0,44,2.0,35,23,40,54,55,Veneno,,6.9,1,0
Arbok,"Intimidación, Mudar, Unnerve",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95,448,90.0,69,3.5,60,24,65,79,80,Veneno,,65.0,1,0
Pikachu,"Electricidad Estática, Lightningrod",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,320,190.0,40,0.4,35,25,50,50,90,Eléctrico,,6.0,1,0
Raichu,"Electricidad Estática, Lightningrod, Surge Surfer",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,485,75.0,50,0.0,60,26,95,85,110,Eléctrico,Eléctrico,0.0,1,0
Sandshrew,"Velo Arena, Sand Rush, Snow Cloak, Slush Rush",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75,300,255.0,90,0.0,50,27,10,35,40,Tierra,Hielo,0.0,1,0
Sandslash,"Velo Arena, Sand Rush, Snow Cloak, Slush Rush",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,450,90.0,120,0.0,75,28,25,65,65,Tierra,Hielo,0.0,1,0
Nidoran♀,"Poison Point, Rivalry, Hustle",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47,275,235.0,52,0.4,55,29,40,40,41,Veneno,,7.0,1,0
Nidorina,"Poison Point, Rivalry, Hustle",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62,365,120.0,67,0.8,70,30,55,55,56,Veneno,,20.0,1,0
Nidoqueen,"Poison Point, Rivalry, Sheer Force",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92,505,45.0,87,1.3,90,31,75,85,76,Veneno,Tierra,60.0,1,0
Nidoran♂,"Poison Point, Rivalry, Hustle",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57,273,235.0,40,0.5,46,32,40,40,50,Veneno,,9.0,1,0
Nidorino,"Poison Point, Rivalry, Hustle",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72,365,120.0,57,0.9,61,33,55,55,65,Veneno,,19.5,1,0
Nidoking,"Poison Point, Rivalry, Sheer Force",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102,505,45.0,77,1.4,81,34,85,75,85,Veneno,Tierra,62.0,1,0
Clefairy,"Cute Charm, Magic Guard, Friend Guard",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,323,150.0,48,0.6,70,35,60,65,35,Hada,,7.5,1,0
Clefable,"Cute Charm, Magic Guard, Unaware",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,483,25.0,73,1.3,95,36,95,90,60,Hada,,40.0,1,0
Vulpix,"Flash Fire, Drought, Snow Cloak, Snow Warning",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41,299,190.0,40,0.0,38,37,50,65,65,Fuego,Hielo,0.0,1,0
Ninetales,"Flash Fire, Drought, Snow Cloak, Snow Warning",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67,505,75.0,75,0.0,73,38,81,100,109,Fuego,Hielo,0.0,1,0
Jigglypuff,"Cute Charm, Competitive, Friend Guard",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,270,170.0,20,0.5,115,39,45,25,20,Normal,Hada,5.5,1,0
Wigglytuff,"Cute Charm, Competitive, Frisk",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,435,50.0,45,1.0,140,40,85,50,45,Normal,Hada,12.0,1,0
Zubat,"Inner Focus, Infiltrator",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45,245,255.0,35,0.8,40,41,30,40,55,Veneno,Volador,7.5,1,0
Golbat,"Inner Focus, Infiltrator",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80,455,90.0,70,1.6,75,42,65,75,90,Veneno,Volador,55.0,1,0
Oddish,"Clorofila, Fuga",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50,320,255.0,55,0.5,45,43,75,65,30,Planta,Veneno,5.4,1,0
Gloom,"Clorofila, Stench",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65,395,120.0,70,0.8,60,44,85,75,40,Planta,Veneno,8.6,1,0
Vileplume,"Clorofila, Effect Spore",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80,490,45.0,85,1.2,75,45,110,90,50,Planta,Veneno,18.6,1,0
Paras,"Effect Spore, Dry Skin, Humedad",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70,285,190.0,55,0.3,35,46,45,55,25,Bicho,Planta,5.4,1,0
Parasect,"Effect Spore, Dry Skin, Humedad",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95,405,75.0,80,1.0,60,47,60,80,30,Bicho,Planta,29.5,1,0
Venonat,"Ojo Compuesto, Cromolente, Fuga",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55,305,190.0,50,1.0,60,48,40,55,45,Bicho,Veneno,30.0,1,0
Venomoth,"Polvo Escudo, Cromolente, Wonder Skin",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65,450,75.0,60,1.5,70,49,90,75,90,Bicho,Veneno,12.5,1,0
Diglett,"Velo Arena, Arena Trap, Sand Force, Velo Arena, Tangling Hair, Sand Force",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55,265,255.0,30,0.0,10,50,35,45,90,Tierra,Tierra,0.0,1,0
Dugtrio,"Velo Arena, Arena Trap, Sand Force, Velo Arena, Tangling Hair, Sand Force",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,425,50.0,60,0.0,35,51,50,70,110,Tierra,Tierra,0.0,1,0
Meowth,"Pickup, Technician, Unnerve, Pickup, Technician, Rattled",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,290,255.0,35,0.0,40,52,50,40,90,Normal,Siniestro,0.0,1,0
Persian,"Flexibilidad, Technician, Unnerve, Fur Coat, Technician, Rattled",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,440,90.0,60,0.0,65,53,75,65,115,Normal,Siniestro,0.0,1,0
Psyduck,"Humedad, Cloud Nine, Swift Swim",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52,320,190.0,48,0.8,50,54,65,50,55,Agua,,19.6,1,0
Golduck,"Humedad, Cloud Nine, Swift Swim",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82,500,75.0,78,1.7,80,55,95,80,85,Agua,,76.6,1,0
Mankey,"Vital Spirit, Anger Point, Defiant",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,305,190.0,35,0.5,40,56,35,45,70,Lucha,,28.0,1,0
Primeape,"Vital Spirit, Anger Point, Defiant",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,455,75.0,60,1.0,65,57,60,70,95,Lucha,,32.0,1,0
Growlithe,"Intimidación, Flash Fire, Justified",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70,350,190.0,45,0.7,55,58,70,50,60,Fuego,,19.0,1,0
Arcanine,"Intimidación, Flash Fire, Justified",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110,555,75.0,80,1.9,90,59,100,80,95,Fuego,,155.0,1,0
Poliwag,"Water Absorb, Humedad, Swift Swim",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50,300,255.0,40,0.6,40,60,40,40,90,Agua,,12.4,1,0
Poliwhirl,"Water Absorb, Humedad, Swift Swim",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,385,120.0,65,1.0,65,61,50,50,90,Agua,,20.0,1,0
Poliwrath,"Water Absorb, Humedad, Swift Swim",0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95,510,45.0,95,1.3,90,62,70,90,70,Agua,Lucha,54.0,1,0
Abra,"Synchronize, Inner Focus, Magic Guard",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,20,310,200.0,15,0.9,25,63,105,55,90,Psíquico,,19.5,1,0
Kadabra,"Synchronize, Inner Focus, Magic Guard",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,35,400,100.0,30,1.3,40,64,120,70,105,Psíquico,,56.5,1,0
Alakazam,"Synchronize, Inner Focus, Magic Guard",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50,600,50.0,65,1.5,55,65,175,105,150,Psíquico,,48.0,1,0
Machop,"Agallas, No Guard, Steadfast",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,305,180.0,50,0.8,70,66,35,35,35,Lucha,,19.5,1,0
Machoke,"Agallas, No Guard, Steadfast",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,100,405,90.0,70,1.5,80,67,50,60,45,Lucha,,70.5,1,0
Machamp,"Agallas, No Guard, Steadfast",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,130,505,45.0,80,1.6,90,68,65,85,55,Lucha,,130.0,1,0
Bellsprout,"Clorofila, Gluttony",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,75,300,255.0,35,0.7,50,69,70,30,40,Planta,Veneno,4.0,1,0
Weepinbell,"Clorofila, Gluttony",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,90,390,120.0,50,1.0,65,70,85,45,55,Planta,Veneno,6.4,1,0
Victreebel,"Clorofila, Gluttony",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,105,490,45.0,65,1.7,80,71,100,70,70,Planta,Veneno,15.5,1,0
Tentacool,"Clear Body, Liquid Ooze, Cura Lluvia",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,40,335,190.0,35,0.9,40,72,50,100,70,Agua,Veneno,45.5,1,0
Tentacruel,"Clear Body, Liquid Ooze, Cura Lluvia",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,70,515,60.0,65,1.6,80,73,80,120,100,Agua,Veneno,55.0,1,0
Geodude,"Rock Head, Robustez, Velo Arena, Magnet Pull, Robustez, Galvanize",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,80,300,255.0,100,0.0,40,74,30,30,20,Roca,Tierra,0.0,1,0
Graveler,"Rock Head, Robustez, Velo Arena, Magnet Pull, Robustez, Galvanize",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,95,390,120.0,115,0.0,55,75,45,45,35,Roca,Tierra,0.0,1,0
Golem,"Rock Head, Robustez, Velo Arena, Magnet Pull, Robustez, Galvanize",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,120,495,45.0,130,0.0,80,76,55,65,45,Roca,Tierra,0.0,1,0
Ponyta,"Fuga, Flash Fire, Flame Body",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,85,410,190.0,55,1.0,50,77,65,65,90,Fuego,,30.0,1,0
Rapidash,"Fuga, Flash Fire, Flame Body",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,100,500,60.0,70,1.7,65,78,80,80,105,Fuego,,95.0,1,0
Slowpoke,"Oblivious, Own Tempo, Regenerator",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,65,315,190.0,65,1.2,90,79,40,40,15,Agua,Psíquico,36.0,1,0
Slowbro,"Oblivious, Own Tempo, Regenerator",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,590,75.0,180,1.6,95,80,130,80,30,Agua,Psíquico,78.5,1,0
Magnemite,"Magnet Pull, Robustez, Analytic",0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,35,325,190.0,70,0.3,25,81,95,55,45,Eléctrico,Acero,6.0,1,0
Magneton,"Magnet Pull, Robustez, Analytic",0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,60,465,60.0,95,1.0,50,82,120,70,70,Eléctrico,Acero,60.0,1,0
Farfetch'd,"Vista Lince, Inner Focus, Defiant",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,377,45.0,55,0.8,52,83,58,62,60,Normal,Volador,15.0,1,0
Doduo,"Fuga, Madrugar, Tanteo",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,85,310,190.0,45,1.4,35,84,35,35,75,Normal,Volador,39.2,1,0
Dodrio,"Fuga, Madrugar, Tanteo",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,110,470,45.0,70,1.8,60,85,60,60,110,Normal,Volador,85.2,1,0
Seel,"Thick Fat, Hydration, Ice Body",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,45,325,190.0,55,1.1,65,86,45,70,45,Agua,,90.0,1,0
Dewgong,"Thick Fat, Hydration, Ice Body",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,70,475,75.0,80,1.7,90,87,70,95,70,Agua,Hielo,120.0,1,0
Grimer,"Stench, Sticky Hold, Poison Touch, Poison Touch, Gluttony, Power Of Alchemy",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,80,325,190.0,50,0.0,80,88,40,50,25,Veneno,Veneno,0.0,1,0
Muk,"Stench, Sticky Hold, Poison Touch, Poison Touch, Gluttony, Power Of Alchemy",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,105,500,75.0,75,0.0,105,89,65,100,50,Veneno,Veneno,0.0,1,0
Shellder,"Shell Armor, Skill Link, Overcoat",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,305,190.0,100,0.3,30,90,45,25,40,Agua,,4.0,1,0
Cloyster,"Shell Armor, Skill Link, Overcoat",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,95,525,60.0,180,1.5,50,91,85,45,70,Agua,Hielo,132.5,1,0
Gastly,Levitación,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,35,310,190.0,30,1.3,30,92,100,35,80,Fantasma,Veneno,0.1,1,0
Haunter,Levitación,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,50,405,90.0,45,1.6,45,93,115,55,95,Fantasma,Veneno,0.1,1,0
Gengar,Cursed Body,0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,65,600,45.0,80,1.5,60,94,170,95,130,Fantasma,Veneno,40.5,1,0
Onix,"Rock Head, Robustez, Weak Armor",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,45,385,45.0,160,8.8,35,95,30,45,70,Roca,Tierra,210.0,1,0
Drowzee,"Insomnio, Forewarn, Inner Focus",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,48,328,190.0,45,1.0,60,96,43,90,42,Psíquico,,32.4,1,0
Hypno,"Insomnio, Forewarn, Inner Focus",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,73,483,75.0,70,1.6,85,97,73,115,67,Psíquico,,75.6,1,0
