Nombre,Habilidades,Resistencia vs Insecto,Resistencia vs Siniestro,Resistencia vs Dragón,Resistencia vs Electrico,Resistencia vs Hada,Resistencia vs Lucha,Resistencia vs Fuego,Resistencia vs Volador,Resistencia vs Fantasma,Resistencia vs Planta,Resistencia vs Tierra,Resistencia vs Hielo,Resistencia vs Normal,Resistencia vs Veneno,Resistencia vs Psiquico,Resistencia vs Roca,Resistencia vs Acero,Resistencia vs Agua,Ataque,Pasos Eclosión,Felicidad Base,Total Estadísticas,Ratio de Captura,Categoría,Defensa,Crecimiento Experiencia,Altura (m),PS,Porcentaje Macho,Número Pokedex,Ataque Especial,Defensa Especial,Velocidad,Tipo 1,Tipo 2,Peso (kg),Generación,Es Legendario
Metapod,Mudar,1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20,3840,70,205,120,Capullo,55,1000000,0.7,50,50.0,11,25,25,30,Bicho,,9.9,1,0
Butterfree,"Ojo Compuesto, Tinted Lens",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45,3840,70,395,45,Mariposa,50,1000000,1.1,60,50.0,12,90,80,70,Bicho,Volador,32.0,1,0
Weedle,"Polvo Escudo, Run Away",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35,3840,70,195,255,Hairy,30,1000000,0.3,40,50.0,13,20,20,50,Bicho,Veneno,3.2,1,0
Kakuna,Mudar,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25,3840,70,205,120,Capullo,50,1000000,0.6,45,50.0,14,25,25,35,Bicho,Veneno,10.0,1,0
Beedrill,"Enjambre, Sniper",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150,3840,70,495,45,Abeja Veneno,40,1000000,1.0,65,50.0,15,15,80,145,Bicho,Veneno,29.5,1,0
Pidgey,"Vista Lince, Tanteo, Big Pecks",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45,3840,70,251,255,Pajarito,40,1059860,0.3,40,50.0,16,35,35,56,Normal,Volador,1.8,1,0
Pidgeotto,"Vista Lince, Tanteo, Big Pecks",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,349,120,Pájaro,55,1059860,1.1,63,50.0,17,50,50,71,Normal,Volador,30.0,1,0
Pidgeot,"Vista Lince, Tanteo, Big Pecks",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80,3840,70,579,45,Pájaro,80,1059860,1.5,83,50.0,18,135,80,121,Normal,Volador,39.5,1,0
Rattata,"Run Away, Agallas, Hustle, Gluttony, Hustle, Thick Fat",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,3840,70,253,255,Ratón,35,1000000,,30,50.0,19,25,35,72,Normal,Siniestro,,1,0
Raticate,"Run Away, Agallas, Hustle, Gluttony, Hustle, Thick Fat",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71,3840,70,413,127,Ratón,70,1000000,,75,50.0,20,40,80,77,Normal,Siniestro,,1,0
Spearow,"Vista Lince, Sniper",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,262,255,Pajarito,30,1000000,0.3,40,50.0,21,31,31,70,Normal,Volador,2.0,1,0
Fearow,"Vista Lince, Sniper",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,3840,70,442,90,Pico,65,1000000,1.2,65,50.0,22,61,61,100,Normal,Volador,38.0,1,0
Ekans,"Intimidación, Mudar, Unnerve",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60,5120,70,288,255,Serpiente,44,1000000,2.0,35,50.0,23,40,54,55,Veneno,,6.9,1,0
Arbok,"Intimidación, Mudar, Unnerve",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95,5120,70,448,90,Cobra,69,1000000,3.5,60,50.0,24,65,79,80,Veneno,,65.0,1,0
Pikachu,"Electricidad Estática, Lightningrod",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,2560,70,320,190,Ratón,40,1000000,0.4,35,50.0,25,50,50,90,Eléctrico,,6.0,1,0
Raichu,"Electricidad Estática, Lightningrod, Surge Surfer",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,2560,70,485,75,Ratón,50,1000000,,60,50.0,26,95,85,110,Eléctrico,Eléctrico,,1,0
Sandshrew,"Sand Veil, Sand Rush, Snow Cloak, Slush Rush",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75,5120,70,300,255,Ratón,90,1000000,,50,50.0,27,10,35,40,Tierra,Hielo,,1,0
Sandslash,"Sand Veil, Sand Rush, Snow Cloak, Slush Rush",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,450,90,Ratón,120,1000000,,75,50.0,28,25,65,65,Tierra,Hielo,,1,0
Nidoran♀,"Poison Point, Rivalry, Hustle",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47,5120,70,275,235,Pin Veneno,52,1059860,0.4,55,0.0,29,40,40,41,Veneno,,7.0,1,0
Nidorina,"Poison Point, Rivalry, Hustle",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62,5120,70,365,120,Pin Veneno,67,1059860,0.8,70,0.0,30,55,55,56,Veneno,,20.0,1,0
Nidoqueen,"Poison Point, Rivalry, Sheer Force",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92,5120,70,505,45,Taladro,87,1059860,1.3,90,0.0,31,75,85,76,Veneno,Tierra,60.0,1,0
Nidoran♂,"Poison Point, Rivalry, Hustle",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57,5120,70,273,235,Pin Veneno,40,1059860,0.5,46,100.0,32,40,40,50,Veneno,,9.0,1,0
Nidorino,"Poison Point, Rivalry, Hustle",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72,5120,70,365,120,Pin Veneno,57,1059860,0.9,61,100.0,33,55,55,65,Veneno,,19.5,1,0
Nidoking,"Poison Point, Rivalry, Sheer Force",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102,5120,70,505,45,Taladro,77,1059860,1.4,81,100.0,34,85,75,85,Veneno,Tierra,62.0,1,0
Clefairy,"Cute Charm, Magic Guard, Friend Guard",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,140,323,150,Hada,48,800000,0.6,70,24.6,35,60,65,35,Hada,,7.5,1,0
Clefable,"Cute Charm, Magic Guard, Unaware",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,140,483,25,Hada,73,800000,1.3,95,24.6,36,95,90,60,Hada,,40.0,1,0
Vulpix,"Flash Fire, Drought, Snow Cloak, Snow Warning",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41,5120,70,299,190,Zorro,40,1000000,,38,24.6,37,50,65,65,Fuego,Hielo,,1,0
Ninetales,"Flash Fire, Drought, Snow Cloak, Snow Warning",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67,5120,70,505,75,Zorro,75,1000000,,73,24.6,38,81,100,109,Fuego,Hielo,,1,0
Jigglypuff,"Cute Charm, Competitive, Friend Guard",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,70,270,170,Globo,20,800000,0.5,115,24.6,39,45,25,20,Normal,Hada,5.5,1,0
Wigglytuff,"Cute Charm, Competitive, Frisk",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,70,435,50,Globo,45,800000,1.0,140,24.6,40,85,50,45,Normal,Hada,12.0,1,0
Zubat,"Foco Interno, Infiltrator",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45,3840,70,245,255,Murciélago,35,1000000,0.8,40,50.0,41,30,40,55,Veneno,Volador,7.5,1,0
Golbat,"Foco Interno, Infiltrator",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80,3840,70,455,90,Murciélago,70,1000000,1.6,75,50.0,42,65,75,90,Veneno,Volador,55.0,1,0
Oddish,"Clorofila, Run Away",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50,5120,70,320,255,Weed,55,1059860,0.5,45,50.0,43,75,65,30,Planta,Veneno,5.4,1,0
Gloom,"Clorofila, Stench",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65,5120,70,395,120,Weed,70,1059860,0.8,60,50.0,44,85,75,40,Planta,Veneno,8.6,1,0
Vileplume,"Clorofila, Effect Spore",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80,5120,70,490,45,Flower,85,1059860,1.2,75,50.0,45,110,90,50,Planta,Veneno,18.6,1,0
Paras,"Effect Spore, Dry Skin, Damp",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70,5120,70,285,190,Hongo,55,1000000,0.3,35,50.0,46,45,55,25,Bicho,Planta,5.4,1,0
Parasect,"Effect Spore, Dry Skin, Damp",2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95,5120,70,405,75,Hongo,80,1000000,1.0,60,50.0,47,60,80,30,Bicho,Planta,29.5,1,0
Venonat,"Ojo Compuesto, Tinted Lens, Run Away",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55,5120,70,305,190,Insecto,50,1000000,1.0,60,50.0,48,40,55,45,Bicho,Veneno,30.0,1,0
Venomoth,"Polvo Escudo, Tinted Lens, Wonder Skin ",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65,5120,70,450,75,Poison Moth,60,1000000,1.5,70,50.0,49,90,75,90,Bicho,Veneno,12.5,1,0
Diglett,"Sand Veil, Arena Trap, Sand Force, Sand Veil, Tangling Hair, Sand Force",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55,5120,70,265,255,Topo,30,1000000,,10,50.0,50,35,45,90,Tierra,Tierra,,1,0
Dugtrio,"Sand Veil, Arena Trap, Sand Force, Sand Veil, Tangling Hair, Sand Force",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,425,50,Topo,60,1000000,,35,50.0,51,50,70,110,Tierra,Tierra,,1,0
Meowth,"Pickup, Technician, Unnerve, Pickup, Technician, Rattled",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,5120,70,290,255,Gato Arañazo,35,1000000,,40,50.0,52,50,40,90,Normal,Siniestro,,1,0
Persian,"Flexibilidad, Technician, Unnerve, Fur Coat, Technician, Rattled",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,5120,70,440,90,Gato Elegante,60,1000000,,65,50.0,53,75,65,115,Normal,Siniestro,,1,0
Psyduck,"Damp, Cloud Nine, Swift Swim",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52,5120,70,320,190,Pato,48,1000000,0.8,50,50.0,54,65,50,55,Agua,,19.6,1,0
Golduck,"Damp, Cloud Nine, Swift Swim",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82,5120,70,500,75,Pato,78,1000000,1.7,80,50.0,55,95,80,85,Agua,,76.6,1,0
Mankey,"Vital Spirit, Anger Point, Defiant",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,190,Mono Cerdo,35,1000000,0.5,40,50.0,56,35,45,70,Lucha,,28.0,1,0
Primeape,"Vital Spirit, Anger Point, Defiant",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,5120,70,455,75,Mono Cerdo,60,1000000,1.0,65,50.0,57,60,70,95,Lucha,,32.0,1,0
Growlithe,"Intimidación, Flash Fire, Justified",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70,5120,70,350,190,Cachorro,45,1250000,0.7,55,75.4,58,70,50,60,Fuego,,19.0,1,0
Arcanine,"Intimidación, Flash Fire, Justified",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110,5120,70,555,75,Legendario,80,1250000,1.9,90,75.4,59,100,80,95,Fuego,,155.0,1,0
Poliwag,"Water Absorb, Damp, Swift Swim",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50,5120,70,300,255,Renacuajo,40,1059860,0.6,40,50.0,60,40,40,90,Agua,,12.4,1,0
Poliwhirl,"Water Absorb, Damp, Swift Swim",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,385,120,Renacuajo,65,1059860,1.0,65,50.0,61,50,50,90,Agua,,20.0,1,0
Poliwrath,"Water Absorb, Damp, Swift Swim",0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95,5120,70,510,45,Renacuajo,95,1059860,1.3,90,50.0,62,70,90,70,Agua,Lucha,54.0,1,0
Abra,"Sincronía, Foco Interno, Magic Guard",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,20,5120,70,310,200,Psi,15,1059860,0.9,25,75.4,63,105,55,90,Psíquico,,19.5,1,0
Kadabra,"Sincronía, Foco Interno, Magic Guard",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,35,5120,70,400,100,Psi,30,1059860,1.3,40,75.4,64,120,70,105,Psíquico,,56.5,1,0
Alakazam,"Sincronía, Foco Interno, Magic Guard",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50,5120,70,600,50,Psi,65,1059860,1.5,55,75.4,65,175,105,150,Psíquico,,48.0,1,0
Machop,"Agallas, No Guard, Steadfast",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,180,Superpoder,50,1059860,0.8,70,75.4,66,35,35,35,Lucha,,19.5,1,0
Machoke,"Agallas, No Guard, Steadfast",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,100,5120,70,405,90,Superpoder,70,1059860,1.5,80,75.4,67,50,60,45,Lucha,,70.5,1,0
Machamp,"Agallas, No Guard, Steadfast",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,130,5120,70,505,45,Superpoder,80,1059860,1.6,90,75.4,68,65,85,55,Lucha,,130.0,1,0
Bellsprout,"Clorofila, Gluttony",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,75,5120,70,300,255,Flower,35,1059860,0.7,50,50.0,69,70,30,40,Planta,Veneno,4.0,1,0
Weepinbell,"Clorofila, Gluttony",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,90,5120,70,390,120,Atrapamoscas,50,1059860,1.0,65,50.0,70,85,45,55,Planta,Veneno,6.4,1,0
Victreebel,"Clorofila, Gluttony",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,105,5120,70,490,45,Atrapamoscas,65,1059860,1.7,80,50.0,71,100,70,70,Planta,Veneno,15.5,1,0
Tentacool,"Clear Body, Liquid Ooze, Rain Dish",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,40,5120,70,335,190,Medusa,35,1250000,0.9,40,50.0,72,50,100,70,Agua,Veneno,45.5,1,0
Tentacruel,"Clear Body, Liquid Ooze, Rain Dish",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,70,5120,70,515,60,Medusa,65,1250000,1.6,80,50.0,73,80,120,100,Agua,Veneno,55.0,1,0
Geodude,"Rock Head, Firmeza, Sand Veil, Magnet Pull, Firmeza, Galvanize",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,80,3840,70,300,255,Rock,100,1059860,,40,50.0,74,30,30,20,Roca,Tierra,,1,0
Graveler,"Rock Head, Firmeza, Sand Veil, Magnet Pull, Firmeza, Galvanize",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,95,3840,70,390,120,Rock,115,1059860,,55,50.0,75,45,45,35,Roca,Tierra,,1,0
Golem,"Rock Head, Firmeza, Sand Veil, Magnet Pull, Firmeza, Galvanize",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,120,3840,70,495,45,Megatón,130,1059860,,80,50.0,76,55,65,45,Roca,Tierra,,1,0
Ponyta,"Run Away, Flash Fire, Flame Body",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,85,5120,70,410,190,Fire Horse,55,1000000,1.0,50,50.0,77,65,65,90,Fuego,,30.0,1,0
Rapidash,"Run Away, Flash Fire, Flame Body",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,100,5120,70,500,60,Fire Horse,70,1000000,1.7,65,50.0,78,80,80,105,Fuego,,95.0,1,0
Slowpoke,"Despiste, Ritmo Propio, Regenerator",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,65,5120,70,315,190,Dopey,65,1000000,1.2,90,50.0,79,40,40,15,Agua,Psíquico,36.0,1,0
Slowbro,"Despiste, Ritmo Propio, Regenerator",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,5120,70,590,75,Hermit Crab,180,1000000,1.6,95,50.0,80,130,80,30,Agua,Psíquico,78.5,1,0
Magnemite,"Magnet Pull, Firmeza, Analytic",0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,35,5120,70,325,190,Magnet,70,1000000,0.3,25,,81,95,55,45,Eléctrico,Acero,6.0,1,0
Magneton,"Magnet Pull, Firmeza, Analytic",0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,60,5120,70,465,60,Magnet,95,1000000,1.0,50,,82,120,70,70,Eléctrico,Acero,60.0,1,0
Farfetch'D,"Vista Lince, Foco Interno, Defiant",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,5120,70,377,45,Wild Duck,55,1000000,0.8,52,50.0,83,58,62,60,Normal,Volador,15.0,1,0
Doduo,"Run Away, Early Bird, Tanteo",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,85,5120,70,310,190,Twin Bird,45,1000000,1.4,35,50.0,84,35,35,75,Normal,Volador,39.2,1,0
Dodrio,"Run Away, Early Bird, Tanteo",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,110,5120,70,470,45,Triple Bird,70,1000000,1.8,60,50.0,85,60,60,110,Normal,Volador,85.2,1,0
Seel,"Thick Fat, Hydration, Ice Body",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,45,5120,70,325,190,Sea Lion,55,1000000,1.1,65,50.0,86,45,70,45,Agua,,90.0,1,0
